Name,Wiki Name,Party,Wiki search,Wiki Output
Chandramani  Shri Kalo,Kalo Chandramani,Ganatantra Parishad,Kalo Chandramani Ganatantra Parishad,"Kalo Chandramani is an Indian politician. He was elected to the Lok Sabha, the lower house of the Parliament of India from Sundargarh, Odisha as a member of the Ganatantra Parishad."
Chandrappa  Shri B.N.,B.N. Chandrappa,Bharatiya Janata Party,B.N. Chandrappa Bharatiya Janata Party,"B. N. Chandrappa is a member of the Indian National Congress and former member of Parliament from the Chitradurga (Lok Sabha constituency). He was born on 01 Oct 1955 at Lakkavalli in Chikkamagaluru district. Before getting elected as the MP of the Chitradurga, he has served in various positions such as Chairman, Karnataka State LIDKAR Board & Vice President of Chikkamagaluru Zilla Parishad"
Chandrappan  Shri C.K.,C.K. Chandrappan,Communist Party of India,C.K. Chandrappan Communist Party of India,"C. K. Chandrappan (10 November 1935 – 22 March 2012) was a politician from Kerala, India. He was the Kerala state secretary of the Communist Party of India (CPI) and the president of All India Kisan Sabha at the time of his death. He was a member of the Lok Sabha of India representing the Thalassery (Lok Sabha constituency) from 1971 to 1977, Kannur (Lok Sabha constituency) from 1977 to 1980 and Thrissur (Lok Sabha constituency) from 2004 to 2009. Chandrappan served as Member of the Legislative Assembly of Kerala from 1991 to 1996 representing Chertala."
Chandrasekhar  Maragatham,Maragatham Chandrasekhar,Congress (I),Maragatham Chandrasekhar Congress (I),Maragatham Chandrasekar (11 November 1917 – 26 October 2001) was an Indian politician and Member of Parliament from the Indian state of Tamil Nadu.
Chandrashanker  Shri Manishankar Bhat,Manishankar Bhat Chandrashanker,Congress,Manishankar Bhat Chandrashanker Congress,#N/A
Chandrashekarappa  Shri T.V.,T.V. Chandrashekarappa,Congress (I),T.V. Chandrashekarappa Congress (I),"T. V. Chandrashekarappa (born at Nalkudure, Shimoga district, Karnataka, April 2, 1934 ) was member of 5th Lok Sabha from Shimoga (Lok Sabha constituency) in Karnataka State, India.
He was elected to 7th Lok Sabha from Davangere (Lok Sabha constituency) and 8th and 9th Lok Sabha from Shimoga."
Chandrawati ,Chandrawati,Janata Party,Chandrawati Janata Party,Chandrawati (3 September 1928 – 15 November 2020) was an Indian politician.
Chandrika Prasad  Shri,Chandrika Prasad,Congress,Chandrika Prasad Congress,"Chandrika Prasad Srivastava KCMG, ComIH, IAS (Retd.) (8 July 1920 – 22 July 2013) was an Indian civil servant, international administrator, and diplomat."
Chandriki  Shri Jagannath Rao,Jagannath Rao Chandriki,Congress,Jagannath Rao Chandriki Congress,#N/A
Chandumajra  Shri Prem Singh,Prem Singh Chandumajra,Shiromani Akali Dal,Prem Singh Chandumajra Shiromani Akali Dal,"Prem Singh Chandumajra (born 1 January 1950) is General Secretary and spokesman of the Shiromani Akali Dal (SAD) and former Member of Parliament from Anandpur Sahib and former constituency MP from Patiala seat. He is also an alumnus of Punjabi University, Patiala. He was a Member of Parliament in 11th, 12th and now of  16th Lok Sabha. He won with a low margin from Himmat Singh Shergill and Ambika Soni, who put up a tough fight."
Channappa  Shri Kunnur Manjunath,Kunnur Manjunath Channappa,Bharatiya Janata Party,Kunnur Manjunath Channappa Bharatiya Janata Party,Manjunath Kunnur (born 2 December 1954) was a member of the 14th Lok Sabha of India. He represented the Dharwad South constituency of Karnataka and was a member of the Bharatiya Janata Party (BJP) political party. He joined Indian National Congress and unsuccessfully contested 2009 Indian general election from Dharwad against Pralhad Joshi
Chaplot  Shri Shanti Lal,Shanti Lal Chaplot,Bharatiya Janata Party,Shanti Lal Chaplot Bharatiya Janata Party,"Shanti Lal Chaplot is a senior Bharatiya Janata Party (BJP) leader in the Rajasthan, India, former MP and former Speaker of Rajasthan Legislative Assembly from 7 April 1995 to 18 March 1998.
He was born on 2 March 1946 to Shri Chunilal Chaplot in Sanwad in Udaipur district. He was five times MLA from Mavli in the Udaipur district. and was elected as a member of 12th Lok Sabha from Udaipur. He also has been awarded by the ""Best MLA award"" for 2008."
Charak  Shri Lakshman Singh,Lakshman Singh Charak,Nominated,Lakshman Singh Charak Nominated,Lakshman Singh Charak was a nominated Member of Parliament of the 1st Lok Sabha of India.
Charan Singh  Chaudhari,Chaudhari Charan Singh,Lok Dal,Chaudhari Charan Singh Lok Dal,"Chaudhary Charan Singh (23 December 1902 – 29 May 1987) served as the 5th Prime Minister of India between 28 July 1979 and 14 January 1980. Historians and people alike frequently refer to him as the 'champion of India's peasants.'Charan Singh was born on 23 December 1902 in a rural peasant Jat family and Teotia clan of village Noorpur, District Hapur (Erstwhile District Meerut), Uttar Pradesh (Erstwhile United Provinces of Agra and Oudh). Charan Singh entered politics as part of the Independence Movement motivated by Mohandas Gandhi. He was active from 1931 in the Ghaziabad District Arya Samaj as well as the Meerut District Indian National Congress for which he was jailed twice by the British. Before independence, as a member of Legislative Assembly of the United Provinces elected in 1937, he took a deep interest in the laws that were detrimental to the village economy and he slowly built his ideological and practical stand against the exploitation of tillers of the land by landlords.
Between 1952 and 1967, he was one of ""three principal leaders in Congress state politics."" He became particularly notable in Uttar Pradesh from the 1950s for drafting and ensuring the passage of what were then the most revolutionary land reform laws in any state in India under the tutelage of the then Chief Minister Pandit Govind Ballabh Pant; first as Parliamentary Secretary and then as Revenue Minister responsible for Land Reforms. He became visible on the national stage from 1959 when he publicly opposed the unquestioned leader and Prime Minister Jawaharlal Nehru's socialistic and collectivist land policies in the Nagpur Congress Session. Though his position in the faction-ridden UP Congress was weakened, this was a point when the middle peasant communities across castes in North India began looking up to him as their spokesperson and later as their unquestioned leader. Singh stood for tight government spending, enforced consequences for corrupt officers, and advocated a ""firm hand in dealing with the demands of government employees for increased wages and dearness allowances."" It is also worth noting that within the factional UP Congress, his ability to articulate his clear policies and values made him stand out from his colleagues. Following this period, Charan Singh defected from the Congress on 1 April 1967, joined the opposition party, and became the first non-Congress chief minister of UP. This was a period when non-Congress governments were a strong force in India from 1967–1971.
As leader of the Bharatiya Lok Dal, a major constituent of the Janata coalition, he was disappointed in his ambition to become Prime Minister in 1977 by Jayaprakash Narayan's choice of Morarji Desai.
During 1977 Lok Sabha Elections, the fragmented opposition united a few months before the elections under the Janata Party banner, for which Chaudhary Charan Singh had been struggling almost single-handedly since 1974. It was because of the efforts of Raj Narain that he became Prime Minister in the year 1979 though Raj Narain was Chairman of Janata Party-Secular and assured Charan Singh of elevating him as Prime Minister, the way he helped him to become Chief Minister in the year 1967 in Uttar Pradesh. However, he resigned after just 24 weeks in office when Indira Gandhi's Congress Party withdrew support to the government. Charan Singh said he resigned because he was not ready to be blackmailed into withdrawing Indira Gandhi's emergency-related court cases. Fresh elections were held six months later. Charan Singh continued to lead the Lok Dal in opposition until his death in 1987.

"
Charanjit Singh  Shri,Charanjit Singh,Congress (I),Charanjit Singh Congress (I),Charanjit Singh Channi  is an Indian politician and the former Chief Minister of Punjab. He is a member of the Indian National Congress. He was also Minister of Technical Education and Training in Second Amarinder Singh ministry and leader of the opposition in the Punjab Legislative Assembly. He was the first dalit to be CM of Punjab for 111 days.
Charenamei  Shri Mani,Mani Charenamei,Independents,Mani Charenamei Independents,Mani Charenamei (born 10 February 1959) was a member of the 14th Lok Sabha of India. He represents the Outer Manipur constituency of Manipur.
Charles  Shri A.,A. Charles,Congress (I),A. Charles Congress (I),"A. Charles was a former MP of India Thiruvananthapuram. He was a leader of Indian National Congress. He represented Thiruvananthapuram Constituency in Lok Sabha 3 times in a row. He was elected to Lok Sabha from Thiruvananthapuram constituency for successive terms in 1984, 1989, and 1991.  Charles, who was a government servant, was closely associated with educational and welfare organisations of the South Kerala Diocese of the Church of South India (CSI). He had also served as a member of the state Public Service Commission, which he resigned to contest the election in 1984, after being persuaded by his mentor Sri K Karunakaran."
Chattar Singh  Shri,Chattar Singh,Congress,Chattar Singh Congress,Akali Phula Singh Nihang (born Nihang Singh; 1 January 1761 – 14 March 1823) was an Akali Nihang Sikh leader. He was a saint soldier of the Khalsa Shaheedan Misl and head of the Budha Dal in the early 19th century. He was also a senior general in the Sikh Khalsa Army and commander of the irregular Nihang of the army. He played a role in uniting Sikh misls in Amritsar. He was not afraid  of the British who at many times ordered for his arrest but were not successful. During his later years he served for the Sikh Empire as a direct adviser to Maharajah Ranjit Singh. He remained an army general in many famous Sikh battles up until his martyrdom in the battle of Naushera. He was admired by the local people and had a great influence over the land and his settlement was always open to help the poor and helpless. He was well known and was a humble unique leader and prestigious warrior with high character. He was also known for his effort to maintain the values of Gurmat and the Khalsa panth.
Chatterjea  Shri Tushar,Tushar Chatterjea,Communist Party,Tushar Chatterjea Communist Party,#N/A
Chatterjee  Shri Hari Pada,Hari Pada Chatterjee,Independents,Hari Pada Chatterjee Independents,#N/A
Chatterjee  Locket,Locket Chatterjee,Bharatiya Janata Party,Locket Chatterjee Bharatiya Janata Party,"Locket Chatterjee (born 4 December 1974) is an Indian actress, politician and Member of Parliament for Hooghly (Lok Sabha constituency), West Bengal, India. She is also a classical dancer. She completed her training in Bharat Natyam, Kathakali, Manipuri and Creative, but is better known as an actress. Previously, she was the state president of BJP Mahila Morcha, the women's wing of the Bharatiya Janata Party in West Bengal. Now she is a General Secretary of Bharatiya Janata Party, West Bengal."
Chatterjee  Shri N.C.,N.C. Chatterjee,Independents,N.C. Chatterjee Independents,"Virendranath Chattopadhyaya (Bengali: বীরেন্দ্রনাথ চট্টোপাধ্যায়), alias Chatto, (31 October 1880 – 2 September 1937, Moscow), also known by his pseudonym Chatto, was a prominent Indian revolutionary who worked to overthrow the British Raj in India using armed force. He created alliances with the Germans during World War I, was part of the Berlin Committee organising Indian students in Europe against the British, and explored actions by the Japanese at the time.
He went to Moscow in 1920 to develop support by the Communists for the Indian movement, including among Asians in Moscow who were working on revolutionary movements. He joined the German Communist Party (KPD). He lived in Moscow for several years in the 1930s. Arrested in July 1937 in the Great Purge, Chatto was executed on 2 September 1937. He was the brother of prominent political activist and poet Sarojini Naidu."
Chatterjee  Shri Nirmal Kanti,Nirmal Kanti Chatterjee,Communist Party of India (Marxist),Nirmal Kanti Chatterjee Communist Party of India (Marxist),"Nirmal Kanti Chatterjee is an Indian politician. He was elected to the Lok Sabha, lower house of the Parliament of India from Dum Dum as a member of the Communist Party of India (Marxist)."
Chatterjee  Shri Santasri,Santasri Chatterjee,Communist Party of India (Marxist),Santasri Chatterjee Communist Party of India (Marxist),Santasri Chatterjee (born 10 May 1940) was a member of the 14th Lok Sabha of India. He represented the Serampore constituency of West Bengal and is a member of the Communist Party of India (Marxist) (CPI(M)) political party. In 2009 he lost to Kalyan Banerjee who is from All India Trinamool Congress(AITC).
Chatterjee  Shri Somnath,Somnath Chatterjee,-,Somnath Chatterjee -,"Somnath Chatterjee (25 July 1929 – 13 August 2018) was an Indian politician who was associated with the Communist Party of India (Marxist) for most of his life, though he had been a non affiliated independent during his last decade. He was the Speaker of the Lok Sabha (House of the People) from 2004 to 2009."
Chatterjee  Dr. Susil Ranjan,Dr. Susil Ranjan Chatterjee,Congress,Dr. Susil Ranjan Chatterjee Congress,"Kumar Sanu is an Indian playback singer, working primarily in Hindi films, he also sings in many other Indian languages, including English, Marathi, Assamese, Bhojpuri, Gujarati, Telugu, Malayalam, Kannada, Tamil, Punjabi, Oriya, Chhattisgarhi, Urdu, Pali, and his native language, Bengali."
Chatterji  Shri Krishna Kumar,Krishna Kumar Chatterji,Congress,Krishna Kumar Chatterji Congress,"Bhashacharya Acharya Suniti Kumar Chatterjee (26 November 1890 – 29 May 1977) was an Indian linguist, educationist and litterateur. He was a recipient of the second-highest Indian civilian honour of Padma Vibhushan.

"
Chattopadhyaya  Shri Harindranath,Harindranath Chattopadhyaya,Independents,Harindranath Chattopadhyaya Independents,"Harindranath Chattopadhyay (2 April 1898 – 23 June 1990) was an Indian English poet, dramatist, actor, musician and a member of the 1st Lok Sabha from Vijayawada constituency. He was the younger brother of Sarojini Naidu, the second woman President of the Indian National Congress and first Indian woman to hold the position, and Virendranath Chattopadhyay, an international communist revolutionary. The Government of India awarded him the civilian honour of the Padma Bhushan in 1973."
Chaturbhuj  Shri,Chaturbhuj,Janata Party,Chaturbhuj Janata Party,"Vishnu (; [ʋɪʂɳʊ]; Sanskrit: विष्णु, lit. 'the pervader', Viṣṇu), also known as Narayana and Hari, is one of the principal deities of Hinduism. He is the supreme being within Vaishnavism, one of the major traditions within contemporary Hinduism.Vishnu is known as ""The Preserver"" within the Trimurti, the triple deity of supreme divinity that includes Brahma and Shiva.  In Vaishnavism tradition, Vishnu is the supreme being who creates, protects and transforms the universe. In the Shaktism tradition, the Goddess, or Devi, is described as one of the supreme, yet Vishnu is revered along with Shiva and Brahma. A goddess is stated to be the energy and creative power (Shakti) of each, with Lakshmi the equal complementary partner of Vishnu. He is one of the five equivalent deities in Panchayatana puja of the Smarta tradition of Hinduism.According to the Vaishnavism sect, the highest form of Ishvar is with qualities (Saguna), and have certain form but is limitless, transcendent and unchanging absolute Brahman, and the primal Atman (Self) of the universe. There are many both benevolent and fearsome depictions of Vishnu. In benevolent aspects, he is depicted as an omniscient sleeping on the coils of the serpent Adishesha (who represents time) floating in the primeval ocean of milk called Kshira Sagara with consort Lakshmi.Whenever the world is threatened with evil, chaos, and destructive forces, Vishnu descends in the form of an avatar (incarnation) to restore the cosmic order and protect Dharma. Dashavatara are the ten primary avatars (incarnations) of Vishnu. Out of the ten, Rama and Krishna avatars are most important."
Chaturvedi  Shri Naresh Chander,Naresh Chander Chaturvedi,Congress (I),Naresh Chander Chaturvedi Congress (I),"Naresh Chandra Chaturvedi (born 30 April 1928) is a writer and poet, predominantly writing in Hindi language. He was born in Farrukhabad, Uttar Pradesh. He completed his M. A. in Hindi from the Jabalpur University.Chaturvedi was the member of Indian National Congress, and was elected to the 8th Lok Sabha from the Kanpur constituency. He was the general secretary of All India Congress Committee. In 1999, he was the member of National Commission for SC and ST."
Chaturvedi  Shri Rohanlal,Rohanlal Chaturvedi,Congress,Rohanlal Chaturvedi Congress,"Rohanlal Chaturvedi (born at Lakhimpur Kheri, 7 July 1919) was member of 5th Lok Sabha from Etah (Lok Sabha constituency) in Uttar Pradesh State, India.
He was elected to 1st and 4th from Etah and 2nd Lok Sabha from Etawah (Lok Sabha constituency).

"
Chaturvedi  Shri Satyavrat,Satyavrat Chaturvedi,Indian National Congress,Satyavrat Chaturvedi Indian National Congress,"Satyavrat Chaturvedi (born 13 January 1950) is an Indian politician. He is a former member of the [[Indian National Congress party]

He was elected to Lok Sabha from Khajuraho in 1999. He was a Member of the Parliament of India, representing Madhya Pradesh in the Rajya Sabha, the upper house of the Parliament. He was the chairman of the select committee on the Lokpal bill in Rajya sabha during the UPA II government.

He is alumnus of Sainik School Rewa.

"
Chaturvedi  Shri Shambunath,Shambunath Chaturvedi,Janata Party,Shambunath Chaturvedi Janata Party,#N/A
Chaturvedi  Vidyawati,Vidyawati Chaturvedi,Congress (I),Vidyawati Chaturvedi Congress (I),Vidyawati Chaturvedi (1926–2009) was an Indian politician from the state of the Madhya Pradesh. She represented Laundi Vidhan Sabha constituency of undivided Madhya Pradesh Legislative Assembly by winning General election of 1957. She also represented Khajuraho (Lok Sabha constituency) between 1980 and 1989. Her son Satyavrat Chaturvedi was also elected to Lok Sabha from Khajuraho later.
Chaubey  Shri Lalmuni,Lalmuni Chaubey,Bharatiya Janata Party,Lalmuni Chaubey Bharatiya Janata Party,"Lalmuni Chaubey (6 September 1942 – 25 March 2016) was a member of the 14th Lok Sabha, the lower house of the Parliament of India. He represented the Buxar constituency  of Bihar for four consecutive terms as a member of the Bharatiya Janata Party (BJP), having previously sat as a  member of the Legislative Assembly of Bihar from 1972.
He died at AIIMS in Delhi."
Chaudhari  Shri Ranbir Singh,Ranbir Singh Chaudhari,Congress,Ranbir Singh Chaudhari Congress,#N/A
Chaudhary  Shri Amarsinh Zinabhai,Amarsinh Zinabhai Chaudhary,Congress,Amarsinh Zinabhai Chaudhary Congress,"Amarsinh Bhilabhai Chaudhary (31 July 1941 – 15 August 2004) was an Indian politician. He became the first adivasi to serve as the Chief Minister of Gujarat when he took office in 1985.

"
Chaudhary  Shri Arvind Kumar,Arvind Kumar Chaudhary,Bahujan Samaj Party,Arvind Kumar Chaudhary Bahujan Samaj Party,"Arvind Maihar Kumar Chaudhary is an Indian politician, belonging to Samajwadi Party. In the 2009 election he was elected to the Lok Sabha from  Basti in Uttar Pradesh."
Chaudhary  Shri Babulal,Babulal Chaudhary,Bharatiya Janata Party,Babulal Chaudhary Bharatiya Janata Party,"Chaudhary Babulal (born 2 July 1948) is an Indian Bharatiya Janata Party politician. He was the Member of Parliament (MP) for the Fatehpur Sikri (Agra, Uttar Pradesh) constituency of 16th Lok Sabha. He is one of the most prominent Jat leaders of western Uttar Pradesh for more than three decades."
Chaudhary  Shri Birendra Kumar,Birendra Kumar Chaudhary,Bharatiya Janata Party,Birendra Kumar Chaudhary Bharatiya Janata Party,"Birendra Kumar Chaudhary is an Indian politician, a member of parliament from Jhanjharpur (Lok Sabha constituency). He was elected in the 2014 Indian general election as a Bharatiya Janata Party candidate."
Chaudhary  Shri C.R.,C.R. Chaudhary,Bharatiya Janata Party,C.R. Chaudhary Bharatiya Janata Party,"Chhotu Ram ""C. R."" Chaudhary (b 1948) is a member of the Bharatiya Janata Party and won the 2014 Indian general elections from the Nagaur Constituency in Rajasthan . He was named Minister of State of the Department of Consumer Affairs, Food and Public Distribution. In the cabinet expansion of September 2017, he also named Minister of State for the Ministry of Commence and Industry.He Started career as College Lecturer in Government College Sirohi, Dausa and Ajmer from 1971–1977.He is also a Retd. IAS and Ex- Chairman of Rajasthan Public Service Commission from 2006–2010."
Chaudhary  Shri Ganeshi Lal,Ganeshi Lal Chaudhary,Congress,Ganeshi Lal Chaudhary Congress,"The Rajya Sabha (meaning the ""Council of States"") is the upper house of the Parliament of India. Uttar Pradesh state elects 31 members and they are indirectly elected by the state legislators of Uttar Pradesh. Members are elected for six years and 1/3 of members are retired after every two years. The number of seats, allocated to the party, are determined by the number of seats a party possesses during nomination and the party nominates a member to be voted on. Elections within the state legislatures are held using Single transferable vote with proportional representation."
Chaudhary  Shri Haribhai Parthibhai,Haribhai Parthibhai Chaudhary,Bharatiya Janata Party,Haribhai Parthibhai Chaudhary Bharatiya Janata Party,Haribhai Parthibhai Chaudhary  is an Indian politician and was the Minister of State for Coal and Mines in government of India. He represents the Banaskantha constituency of Gujarat and is a member of the Bharatiya Janata Party political party.
Chaudhary  Shri Ishwar,Ishwar Chaudhary,Bharatiya Janata Party,Ishwar Chaudhary Bharatiya Janata Party,"Ishwar Chaudhary (born 10 July 1988) is an Indian cricketer. He made his first-class debut for Gujarat in the 2008–09 Ranji Trophy on 23 November 2008. Ahead of the 2018–19 Ranji Trophy, he transferred from Gujarat to Sikkim. He was the leading wicket-taker for Sikkim in the tournament, with 51 dismissals in eight matches."
Chaudhary  Shri Jayant,Jayant Chaudhary,Rashtriya Lok Dal,Jayant Chaudhary Rashtriya Lok Dal,Jayant Singh Chaudhary (born 27 December 1978) is an Indian politician who was a member of the Indian Parliament for Mathura from 2009–2014. He is the National President of The Rashtriya Lok Dal (RLD) Party.
Chaudhary  Shri Manibhai Ramjibhai,Manibhai Ramjibhai Chaudhary,Bharatiya Janata Party,Manibhai Ramjibhai Chaudhary Bharatiya Janata Party,"Manibhai Ramjibhai Chaudhary (born 1 October 1947) is an Indian politician belonging to the Bharatiya Janata Party. He was a member of the Lok Sabha, the lower house of the Indian Parliament from Bulsar constituency in Gujarat in 1996, 1998 and 1999. He was earlier a member of the Gujarat Legislative assembly from Dharampur.

"
Chaudhary  Shri Manphool Singh Bhadu,Manphool Singh Bhadu Chaudhary,Congress (I),Manphool Singh Bhadu Chaudhary Congress (I),#N/A
Chaudhary  Shri Motibhai Ranchhodbhai,Motibhai Ranchhodbhai Chaudhary,Janata Party,Motibhai Ranchhodbhai Chaudhary Janata Party,This is a list of members of the 6th Lok Sabha arranged by state or territory represented. These members of the lower house of the Indian Parliament were elected to the 6th Lok Sabha (1977 to 1980) at the 1977 Indian general election.
Chaudhary  Nisha Amarsinh,Nisha Amarsinh Chaudhary,Indian National Congress,Nisha Amarsinh Chaudhary Indian National Congress,"Amarsinh Bhilabhai Chaudhary (31 July 1941 – 15 August 2004) was an Indian politician. He became the first adivasi to serve as the Chief Minister of Gujarat when he took office in 1985.

"
Chaudhary  Shri P.P.,P.P. Chaudhary,Bharatiya Janata Party,P.P. Chaudhary Bharatiya Janata Party,"P.P. Chaudhary (born 12 July 1953) is an Indian politician. He served as the Union Minister of State for the Ministry of Law and Justice, Ministry of Electronics and Information Technology and the Ministry of Corporate Affairs. Currently Chaudhary is  Chairperson of the Standing Parliamentary Committee on External Affairs and also a member of the Business Advisory Committee, Consultative Committee, Ministry of Home Affairs, Govt. of India, General Purposes Committee, Lok Sabha and Joint Committee on the Personal Data Protection Bill, 2019. He is a member of the Bharatiya Janata Party (BJP) and won the Indian general elections, 2014 from Pali Lok Sabha constituency, with a victory margin of over 4,00,000 votes and again won in 2019 with a margin of 5,00,000 votes."
Chaudhary  Shri Padamsen,Padamsen Chaudhary,Bharatiya Janata Party,Padamsen Chaudhary Bharatiya Janata Party,"Padamsen Chaudhary is an Indian politician.  He was elected to the Lok Sabha, the lower house of the Parliament of India  as a member of the Bharatiya Janata Party."
Chaudhary  Shri Pankaj,Pankaj Chaudhary,Bharatiya Janata Party,Pankaj Chaudhary Bharatiya Janata Party,"Pankaj Choudhary (born 15 November 1964) is an Indian politician and member of 10th, 11th, 12th, 14th, 16th and 17th Loksabha from Maharajganj (Lokasabha constituency) in Uttar Pradesh of India as a member of Bharatiya Janata Party."
Chaudhary  Shri Pradeep Kumar,Pradeep Kumar Chaudhary,Bharatiya Janata Party,Pradeep Kumar Chaudhary Bharatiya Janata Party,"Pradeep Kumar is an Indian politician and member of the 13th,
16th and 17th Legislative Assembly of Uttar Pradesh. In 2017 he represented the Gangoh constituency of Uttar Pradesh and is a member of the Bhartiya Janata Party.He is elected as Member of Parliament in 17th Lok sabha from Kairana seat. Pradeep Choudhary's Father Late Master Kanwarpal Singh remain 3 terms MLA. Pradeep Choudhary is also titled with (Vikas Purush)"
Chaudhary  Shri Raghuraj Singh,Raghuraj Singh Chaudhary,Congress (I),Raghuraj Singh Chaudhary Congress (I),"The partial list of political families of Uttar Pradesh state of India and their notable members:

"
Chaudhary  Shri Ram Prakash,Ram Prakash Chaudhary,Congress (I),Ram Prakash Chaudhary Congress (I),"Ram Prakash Chaudhary (born 7 January 1928 Adhoya in Ambala district (Haryana)) was member of 5th Lok Sabha from Ambala (Lok Sabha constituency) in Haryana State, India.
He was elected to 8th, 9th and 10th Lok Sabha from Ambala."
Chaudhary  Shri Ram Raghunath,Ram Raghunath Chaudhary,Indian National Congress,Ram Raghunath Chaudhary Indian National Congress,#N/A
Chaudhary  Shri Rudrasen,Rudrasen Chaudhary,Bharatiya Janata Party,Rudrasen Chaudhary Bharatiya Janata Party,"Rudrasen Chaudhary is an Indian politician.  He was elected to the Lok Sabha, the lower house of the Parliament of India  as a member of the Bharatiya Janata Party."
Chaudhary  Shri Santokh Singh,Santokh Singh Chaudhary,Indian National Congress,Santokh Singh Chaudhary Indian National Congress,Santokh Singh Chaudhary is an Indian politician who is a member of parliament from Jalandhar (Lok Sabha constituency). He won the 2014 Indian general election being an Indian National Congress candidate.
Chaudhary  Dr. Tushar Amarsinh,Dr. Tushar Amarsinh Chaudhary,Indian National Congress,Dr. Tushar Amarsinh Chaudhary Indian National Congress,"Tushar Choudhary (born December 18, 1965) is an Indian politician and a leader of the Indian National Congress in Delhi. In 2004, he was elected to the 14th Lok Sabha from Gandhi nagar constituency. In
2009, he was elected to the 15th Lok Sabha from Gandhi nagar constituency. He was the Union Minister of State for Tribal Affairs from 28 May 2009 to 28 Sep 2012. On 28 Sep 2012 he became the Union Minister of State for Road Transport and Highways.
Choudhary has studied medicine."
Chaudhary  Shri Yudhvir Singh,Yudhvir Singh Chaudhary,Jan Sangh,Yudhvir Singh Chaudhary Jan Sangh,"Bharatiya Kisan Union (abbreviated BKU) (English: Indian Farmers' Union) is a farmer's representative organisation in India. It was founded by Chaudhary Charan Singh from the Punjab Khetibari Union (Punjab Farming Union) which became its Punjab branch. The union is affiliated to the All India Kisan Sangharsh Coordination Committee and Via Campesina. The national headquarters of the union is located in Sisauli, Uttar Pradesh."
Chaudhri  Kamala,Kamala Chaudhri,Congress,Kamala Chaudhri Congress,#N/A
Chaudhry  Sqn.Ldr.(Retd.) Kamal,Sqn.Ldr.(Retd.) Kamal Chaudhry,Bharatiya Janata Party,Sqn.Ldr.(Retd.) Kamal Chaudhry Bharatiya Janata Party,#N/A
Chaudhuri  Km. Debasree,Km. Debasree Chaudhuri,Bharatiya Janata Party,Km. Debasree Chaudhuri Bharatiya Janata Party,Mansukh Laxmanbhai Mandaviya (born 1 June 1972) is an Indian politician currently serving as the Minister of Health & Family Welfare and Chemical and Fertilizers of India. He is also a Rajya Sabha member from Gujarat.
Chaudhuri  Shri Rohini Kumar,Rohini Kumar Chaudhuri,Congress,Rohini Kumar Chaudhuri Congress,"Rohini Kumar Chaudhuri (or Chaudhury, 2 April 1899 – 16 December 1955) was an Indian politician. He was a Member of Parliament, representing Gauhati, Assam in the Lok Sabha the lower house of India's Parliament as a member of the Indian National Congress. He was also a member of the Constituent Assembly of India."
Chaudhuri  Shri Sachindra Nath,Sachindra Nath Chaudhuri,Congress,Sachindra Nath Chaudhuri Congress,"Sachindra Chaudhuri (24 February 1903 – 12 June 1992) was an Indian lawyer and politician who was Minister of Finance of the Government of India from 1965 to 13 March 1967, under Lal Bahadur Shastri and Indira Gandhi. He also was Director of several companies, member of Central Board of State Bank of India, member of Law Commission and member of Indian delegation to General Assembly of the United Nations."
Chaudhuri  Shri Tridib,Tridib Chaudhuri,Revolutionary Socialist Party,Tridib Chaudhuri Revolutionary Socialist Party,"Tridib Chaudhuri  (12 December 1911 – 11 May 1997) was an Indian politician and Indian independence activist. He was a leader and founder of the Revolutionary Socialist Party and a member of Lok Sabha from Baharampur in West Bengal in India. He was the joint opposition candidate for 1974 Indian presidential election and became the first Bengali to participate in the presidential election in India. He was member of Lok Sabha from 1952 to 1984 and a member of Rajya Sabha from 1987 to 1997 until his death. He had participated in Goa Liberation Movement. He was one of the founders of the Revolutionary Socialist Party.He passed his BA examination in 1933 and subsequently MA in economics from the University of Calcutta as an external candidate from jail, when he was imprisoned for sedition against the colonial rule."
Chaudhury  Shri Jitendra,Jitendra Chaudhury,Communist Party of India (Marxist),Jitendra Chaudhury Communist Party of India (Marxist),"Jitendra Chaudhury is a member of the Communist Party of India (Marxist) and had won the 2014 Indian general elections from the Tripura East (Lok Sabha constituency) before conceding defeat against Rebati Tripura of BJP in 2019.Jitendra Chaudhury is the current State General Secretary of Communist Party of India (Marxist). At the 22nd Communist Party Congress in 2018, he was elected as a member of the central committee. He is current president of GMP, the Indigenous Tripuri wing of the party. He is also joint secretary of AIKS, the peasant's wing of the party. He is the national convener of Adivasi Adhikar Rashtriya Manch (AARM)."
Chaudhury  Shri Suresh Chandra,Suresh Chandra Chaudhury,Jharkhand Party,Suresh Chandra Chaudhury Jharkhand Party,"Indian nationalist leader Subhas Chandra Bose died on 18 August 1945 from third-degree burns sustained after the overloaded bomber in which he was being transported by the Japanese crashed in Taihoku (now Taipei), Japanese Taiwan.  Many among his supporters, especially in Bengal, refused at the time and have refused since to believe either the fact or the circumstances of his death. Conspiracy theories appeared within hours of his death and have persisted since then, keeping alive various martial myths about Bose."
Chauhan  Shri Bal Krishna,Bal Krishna Chauhan,Bahujan Samaj Party,Bal Krishna Chauhan Bahujan Samaj Party,#N/A
